date,equal_topk,vol_scaled,kelly,kelly_spy,topk_spy,spy_hold,cash
2022-05-13,468.0688358738273,102.97594865395428,323.2113306749478,518.0162945849142,736.8040487719202,474.33339890370536,120.8786996814752
2022-05-16,468.0688358738273,102.97594865395428,322.5871592664407,517.0159244569694,733.8142705651495,472.40866510080417,120.88380507243457
2022-05-17,468.0688358738273,102.97594865395428,328.41857179133547,526.3620284503971,748.9091664377428,482.1263278596866,120.88886321275861
2022-05-18,468.0688358738273,102.97594865395428,316.623586356365,507.4580047673562,718.7193746925561,462.6910023419217,120.89373164493095
2022-05-19,468.0688358738273,102.97594865395428,315.47714830672857,505.6205890146232,714.3175245055927,459.8572169357104,120.89869524624989
2022-05-20,468.0688358738273,102.97594865395428,315.91356948904433,506.32004866311206,714.6294601074495,460.05803216536947,120.90351657886163
2022-05-23,468.0688358738273,102.97594865395428,320.2322772633421,513.241715035281,728.0002297913006,468.6657517356821,120.90862301797888
2022-05-24,468.0688358738273,102.97594865395428,319.9457147720402,512.7824364586268,722.4427352938077,465.0879955347245,120.91363471607079
2022-05-25,468.0688358738273,102.97594865395428,322.45425092958766,516.8029100059223,728.8255544626013,469.1970721826716,120.91864662189907
2022-05-26,468.0688358738273,102.97594865395428,327.85635723950304,525.4609576299717,743.3885586216862,478.5723182505252,120.92370622009786
2022-05-27,468.0688358738273,102.97594865395428,334.63187460041166,536.3201944947941,761.6380960039328,490.3208490971857,120.92876603000538
2022-05-31,468.0688358738273,102.97594865395428,331.59530869683306,531.4534386965054,757.3644003484548,487.569565917456,120.93415834083325
2022-06-01,468.0688358738273,102.97594865395428,328.3027879367077,526.1764596981442,751.2384832760954,483.6258755004752,120.93950343413489
2022-06-02,468.0688358738273,102.97594865395428,332.95977820757554,533.6402971787036,765.5447632487852,492.83584987076335,120.94489622375224
2022-06-03,468.0688358738273,102.97594865395428,329.34475715675126,527.8464414816156,752.9808748955168,484.7475774515421,120.95047905585449
2022-06-06,468.0688358738273,102.97594865395428,330.20121097620193,529.2190945786099,755.2736608725111,486.2236075673363,120.95634672171965
2022-06-07,468.0688358738273,102.97594865395428,333.33616727694914,534.2435423391746,762.5184541806564,490.8875985428679,120.96226208755188
2022-06-08,468.0688358738273,102.97594865395428,328.38140511896876,526.3024607927227,754.228083572827,485.5504947699754,120.96822515563807
2022-06-09,468.0688358738273,102.97594865395428,321.3336493713216,515.0069028371536,736.2903631857446,474.00270279737333,120.97423592832152
2022-06-10,468.0688358738273,102.97594865395428,313.788205197277,502.91369117940064,714.9413364059601,460.25880921722813,120.98062613580166
2022-06-13,459.81597447050507,102.97594865395428,302.3981686234996,484.65868592072525,684.065434965748,442.7835319676562,120.98867199126927
2022-06-14,457.8708224112291,102.97594865395428,300.0501965172121,480.8955511081313,681.1716440507296,441.4492942022333,120.997143144127
2022-06-15,464.45482815046165,102.97594865395428,302.5792689831929,484.9489385460905,690.9666294359403,447.74275187302675,121.00519009806355
2022-06-16,443.9759875595704,102.97594865395428,293.7248391780002,470.75779336324695,660.5003825585151,432.92422956960354,121.01252872045133
2022-06-17,451.7736016381237,102.97594865395428,294.0901535212743,471.3432888719175,672.1008457057187,433.85748589831366,121.02005693243203
2022-06-21,454.69580112101465,102.97594865395428,299.6010200161726,480.1756482934706,676.448184143933,444.7792383013437,121.02796370286174
2022-06-22,450.46614673206665,102.97594865395428,299.91114454646765,480.67269015059867,670.155752975872,443.9729231586823,121.03544558984942
2022-06-23,444.7549595655774,102.97594865395428,302.4927382315263,484.81025423928656,661.659254484896,448.3248869722361,121.04302251098557
2022-06-24,461.9909764153642,102.97594865395428,311.2705961896885,498.8786764210973,687.3011721607742,462.578950497996,121.05093078185716
2022-06-27,465.3411957273962,102.97594865395428,311.5574329028621,499.3383944978085,691.6969416874753,460.81208189939906,121.05926467514377
2022-06-28,465.7164866208798,102.97594865395428,307.79216130779895,493.30372969906017,690.4959869499329,451.3962528298101,121.06759914218702
2022-06-29,458.66439459544,102.97594865395428,307.048110150249,492.11122625925015,679.936618310337,451.02871514617374,121.07583973445742
2022-06-30,448.91534611228036,102.97594865395428,305.86018043888396,490.2073111148655,664.7493064947466,447.3644862275017,121.08375014942197
2022-07-01,453.6038983929517,102.97594865395428,309.9410384363691,496.7477716060556,672.6080247127609,452.0959755539909,121.09166108120857
2022-07-05,449.47849747460145,102.97594865395428,307.4229001533576,492.71190856903297,666.5633232965445,452.94986023584534,121.10051701862443
2022-07-06,443.4970210144776,102.97594865395428,308.2981501781426,494.11468666387145,657.9920530287425,454.479568338883,121.1093264197092
2022-07-07,457.41916589514597,102.97594865395428,311.27740957863955,498.88959635540266,679.8493799010319,461.286326534917,121.11832518368979
2022-07-08,454.07849430124577,102.97594865395428,310.19239506989345,497.1506251559161,674.835325760761,460.9069537331828,121.12741895667192
2022-07-11,447.75135633272987,102.97594865395428,308.6066786433467,494.6091704803429,664.8179983499,455.64170058048387,121.13755001890425
2022-07-12,443.5085961218927,102.97594865395428,307.12747320015734,492.23842276858835,658.5183784582937,451.60970491137357,121.14782312338133
2022-07-13,442.0307041977053,102.97594865395428,305.13985403016477,489.0528317333501,656.3240151427626,449.23802360017993,121.15889649195572
2022-07-14,432.87330795885634,102.97594865395428,302.886167730007,485.44081038519255,642.7271789712952,448.1471311339675,121.16997087267781
2022-07-15,443.70169812506344,102.97594865395428,308.0003760221271,493.6374389615705,658.8050949258367,456.7089609883011,121.18085825789863
2022-07-18,449.2205607059239,102.97594865395428,305.68944331054576,489.9336678165772,666.9994624521055,452.9380251177475,121.19245133653182
