date,incumbent_weekly,ltr_weekly,monthly_reg,quintile_prob_weekly,spy_hold,cash
2023-08-07,160.19881571422613,162.47927472542457,559.7211150701836,305.37956100405745,253.33677447107866,111.04697094120927
2023-08-08,159.14157440152866,161.82587527617912,561.4362674761466,303.07601581945937,252.23506436865378,111.06973051374895
2023-08-09,157.4234987449963,161.17623101682375,557.192365976482,302.0971377445754,250.5488297178982,111.0924110121351
2023-08-10,158.15739796069485,160.71988524299024,555.2087455083823,301.18165859114,250.63879902986977,111.11509614189114
2023-08-11,156.67250729524568,159.56348374732252,555.579616566773,300.63319745801374,250.49261892868503,111.13778590396281
2023-08-14,158.90505777697854,162.48177842047008,550.9170838747239,298.4088818970122,251.87536517204782,111.16052219634695
2023-08-15,157.17518398784662,159.2578096275509,541.7489364613855,295.0117577004331,248.9412759279387,111.18326314006536
2023-08-16,154.620182568488,156.2428282687628,542.4622218394256,294.84242877113627,247.11452320671424,111.20600873606959
2023-08-17,154.11100435539169,157.60271210101203,536.5752001645609,290.90906835216884,245.23152408602047,111.22875898531142
2023-08-18,154.26001954684193,157.4466631768937,536.4288774704858,291.7795870914256,245.34955427977854,111.2514719573965
2023-08-21,155.47618446805888,156.0817383015373,532.7901270491826,292.1940132877713,246.9458730339466,111.2742734433326
2023-08-22,155.49938189448255,154.48861452452024,531.1546629109273,292.08920430796667,246.2769877889761,111.29707960253505
2023-08-23,158.11142632284745,155.61841254632802,536.0964835583269,294.7737773902917,249.01997459386283,111.31989043596165
2023-08-24,154.16080199718442,153.14743435974472,529.5943732673461,290.8206953751785,245.56880662642766,111.34274790233297
2023-08-25,156.07816743104644,153.65429045554137,529.9569197021027,294.0542303741109,247.2999992254769,111.36573593738146
2023-08-28,157.1124485928455,154.2523107724799,532.0102884838082,296.43891715003946,248.8682036824744,111.3887287185833
2023-08-29,158.97140973551348,157.6981248953713,549.6194378330724,300.45278348788173,252.46555175109427,111.41168427511964
2023-08-30,158.3891490499003,159.20782769581507,545.924109950238,299.5993907932433,253.50540683871822,111.43460257803552
2023-08-31,156.7920961140155,154.73401702024887,547.8445853879089,296.3561449198998,253.13441919093677,111.45752559543546
2023-09-01,156.7282803618707,154.41889134613285,547.0673073486055,296.9984780503273,253.6065755762251,111.48036931298472
2023-09-05,155.60769600551353,151.21577974479356,546.9094386435465,291.5151801831935,252.51052750451603,111.50330174497977
2023-09-06,154.56159930596957,149.5206024965548,538.8934883675968,292.505490125281,250.81298659745696,111.52619687144767
2023-09-07,154.087070356296,145.70588889555415,530.1817702119927,293.5034780996633,250.04295042010756,111.54905466348158
2023-09-08,154.3191449450526,146.0715561378188,527.8655426053989,296.04979467421737,250.4195466832207,111.57195918445926
2023-09-11,155.33406941129044,144.83286677083808,534.3689704315033,294.0241073408765,252.06650322152635,111.5949104572467
2023-09-12,154.48195156166508,145.35149830877165,535.9982999033161,293.25105675788416,250.6837391730355,111.61786645130039
2023-09-13,154.66207242824484,144.05888974947928,525.413942289912,293.37338101014836,250.97602815489287,111.64078510149719
2023-09-14,155.99560981625064,146.48358943667148,534.1302603488034,297.0668465734982,253.1400100011404,111.663708457612
2023-09-15,154.11613591280002,145.292141296054,526.9835626259428,294.39482307540175,250.09011620427785,111.68667860398213
2023-09-18,154.20654745889024,142.29537223823596,517.1556839786858,293.36587610643375,250.23683045930375,111.709611383473
2023-09-19,153.88672758687107,143.0988275744839,517.3118746977946,292.87549987925166,249.71784658727776,111.73254887178304
2023-09-20,152.47197341923425,142.33403393467415,511.22814522216515,291.45173971099643,247.4220711832994,111.7555752845277
2023-09-21,149.9518722669943,138.14267088579678,499.74377552728794,284.9015786766397,243.33260718086157,111.77860644267277
2023-09-22,149.61471620045785,136.55797343985515,491.9018676545527,284.1036149094,242.7854912065369,111.80160022450666
2023-09-25,150.24388839413572,135.94116070305128,490.6347769092958,285.7596262062943,243.80647285844148,111.824725118464
2023-09-26,148.03659583018296,134.1558728376049,482.9397521723619,282.489076837394,240.2246152512139,111.84781266344326
2023-09-27,148.09568153111692,134.87175250388324,483.96689535104315,284.0093833884723,240.3204958656938,111.8709049751209
2023-09-28,148.95426205072374,136.2435436961306,492.06989055305655,286.4922567922083,241.71374713459846,111.89391774352463
2023-09-29,148.59275850593798,136.9532951557375,495.6535940918061,284.77590711490166,241.12712158115946,111.91693524584475
2023-10-02,148.533661832729,134.66813883618502,493.01632010257566,275.49357966169623,241.03122316155154,111.94008399554413
2023-10-03,146.5453758779948,131.10766972077857,484.9255507725251,277.2609244316717,237.80475590994484,111.96323753330005
2023-10-04,147.61251740100974,133.1766929866461,491.1741580402431,279.1766910669847,239.53644705257915,111.98635367581537
2023-10-05,147.55693185580427,131.53579503064964,487.30380403066374,276.3425874561133,239.4462462739431,112.00947459093334
2023-10-06,149.30883111770257,132.24299842963552,500.91347623080856,278.9794355372234,242.28911984711803,112.0326846790659
2023-10-09,150.2647247443815,132.4938792802679,499.6979643069018,280.68961669157795,243.84028479658397,112.05589957668616
2023-10-10,151.046817534887,133.69544095855997,507.24404609877246,283.47321306464096,245.10941651794192,112.07903485038283
2023-10-11,151.66553315047943,133.08039531199375,511.3365338997875,286.85846982898903,246.11342988282715,112.102174900632
2023-10-12,150.74092147985672,132.09994722431384,502.7356389175058,278.58199750096986,244.61302735339504,112.12536196505465
2023-10-13,149.99013258995748,130.01410677103328,499.1113645179374,281.5858030573433,243.39469366232697,112.1485538254588
2023-10-16,151.56823101568233,131.37849061698577,508.69797833726443,285.6717199903683,245.9555340073939,112.17170822872751
2023-10-17,151.56125264877537,131.67530102352683,510.37362290873364,287.54942820759965,245.94420994596234,112.19490967533105
2023-10-18,149.54169571025997,130.01106504957153,495.26216495743097,283.4657439928781,242.66699807944985,112.21807364931651
2023-10-19,148.22776577769872,129.02113699264433,487.7317823618938,280.64112329579524,240.53483399700463,112.24120012148019
2023-10-20,146.40634618133106,126.2729348833825,466.68920510917746,279.1160416741441,237.5791471325865,112.2642467616377
2023-10-23,146.15259037715282,127.52879781514055,468.009172809678,277.3482264097127,237.167367936472,112.28734044369311
2023-10-24,147.25447012285244,128.11585495172807,471.5705253332147,277.3933404971091,238.95543011447185,112.31039655790651
2023-10-25,145.14107828844337,125.78177633244351,459.75504554962737,276.0319185585961,235.52594879298593,112.33349973335588
2023-10-26,143.4030479821589,125.16653667117362,459.9560339787094,274.6511919552107,232.7055809016499,112.35660766131912
2023-10-27,142.75303943823522,121.66656360689849,455.97226772807414,272.0035566738643,231.65078731160284,112.37972034277384
2023-10-30,144.45978778846347,120.97998325004443,440.73842431462043,273.23915345048925,234.42039278290503,112.4028801279114
2023-10-31,145.36700840319384,121.32289531637862,447.7347282564815,275.1770598525067,235.89257418439828,112.42604468593544
2023-11-01,146.91732502859097,121.81826206720844,463.6996622906126,272.40281750226507,238.40833194527522,112.44912928048188
2023-11-02,149.7329205191508,124.4899834965936,474.7684141421428,276.5897096246743,242.9773058508808,112.47209145283408
2023-11-03,151.09896875801405,128.18873655511462,494.2600251911558,281.1726838612263,245.19404429150234,112.49501591000121
2023-11-06,151.44658140263596,125.79851280769493,485.1829254093636,277.3372068405288,245.7581285528464,112.5180298611312
